Title,Author,ISBN,Summary,Gender,Age,ReadingComptence,Entertaining,Suspense,Romantic,Historic,FeelGood,Funny,Gripping,Sad,Social
The Clothes They Stood Up In,Alan Bennett,9780375503061,"The story of an English middle-class couple who come home from an opera visit to find their apartment completely empty. With the loss of their dignified furnishings, they begin a new, less softly padded life.
While Mr. Ransome insists on going to his law office the next morning in his evening suit as if nothing had happened, Mrs. Ransome, slightly irritated, decides to make the best of it and goes off to acquire the necessities for everyday life. A strange spirit of adventure and joie de vivre takes hold of her - and when the complete furnishings reappear one day, it is already too late: nothing will ever be the same again.",,,,,,,,,,,,
Yellow Street,Veza Canetti,9780811211598,"Good and evil live close together on Gelbe Straße, the street of leather merchants in Vienna's Leopoldstadt. Veza Canetti, Elias Canetti's first wife, has described it, concisely, touchingly or with biting humor, and always in such a way that it remains unforgettable to the reader. A panorama of the world of the little people in Vienna in the thirties that could not be more vivid. With tender sympathy and biting mockery, Veza Canetti describes a declining world on the eve of the great catastrophe.",,,,,,,,,,,,
The Eight Mountains,Paolo Cognetti,9781501169892,"Daringly, Pietro and Bruno explore the abandoned houses of the mountain village as children, roam through shady valleys on endless summer days, follow the torrent to its source. As men, the friends take different paths. One will never leave his home village, the other goes out into the world as a documentary filmmaker. But again and again Pietro returns to the mountains, to this existence of silence, endurance and moderation. He wrestles with Bruno over the question of which path is the right one. City or country? To go or to stay? What really counts in life? 
A haunting archaic story about the indomitability of nature and fate, about life, love and death.",,,,,,,,,,,,
The Visit,Friedrich Dürrenmatt,978-0802144263,"Claire Zachanassian returns to her home village of Güllen, where she once had her heart broken and her honor stolen, as a filthy rich woman. Now she wants to take revenge and offers the people of Güllen one billion in exchange for her former lover Ill being punished by death for his crime. An offer that the citizens indignantly reject. First.
Friedrich Dürrenmatt makes it clear that money can buy almost anything.",,,,,,,,,,,,
The Corrections,Jonathan Franzen,9780312421274,"After nearly fifty years of marriage, Enid Lambert has only one goal: to gather her family around her for one last Christmas. Everything could be so beautiful, cozy, harmonious. But Parkinson's is tightening its grip on her husband Alfred, and their three grown children are going through tragicomic times of their own. Gary is in a marital crisis. Chip is trying his hand at writing. And Denise, though a master chef, has no luck in love.",,,,,,,,,,,,
Old Filth,Jane Gardam,9781933372136,"Everything about Edward Feathers is without fault - his wardrobe, his manners and his reputation as a lawyer with a brilliant career in Hong Kong. Now he is old and has to cope with the death of his wife Betty, just as he has always coped with everything. His perfect demeanor fools everyone and sometimes even himself. But with Betty's death, something inside him breaks open, and cautiously Feathers begins to bring past events to light. On a cold English winter morning, he gets behind the wheel of his car and drives off to explore his own life.",,,,,,,,,,,,
Family Lexicon,Natalia Ginzburg, ‎ 9781911547259,"Giuseppe Levi is a Jewish scientist, consumed by his work and a mania for hiking. Impatient and intractable, he is constantly at odds with his impressionable and wistful wife Lidia yet he cannot be without her. Together they preside over their five children in a house filled with argument and activity, books and politics, visitors, friends and famous faces. But as their children grow up against the backdrop of Mussolini's Italy, the Levi household must become not only a home, but a stronghold against fascism. 
Intimate, enchanting and comedic, Family Lexicon is an unforgettable novel about language, memory, and the lasting power that family holds over all of us.",,,,,,,,,,,,
The Tin Drum,Günter Grass,9780547339108,"In the early 1950s, in a sanatorium and nursing home, a hunchback born in 1924 drums and writes the story of his life and family from the beginning of the century to Adenauer's Germany. Oskar Matzerath saw and heard everything, nothing escaped him, for he was a bright-eyed infant whose mental development was already complete at birth. The outsider, who can drum up reality and break glass, proves to be the only sane one in a world of appearances, lies and crime.",,,,,,,,,,,,
To the End of the Land,David Grossman, ‎9780307476401,"Ora tells of her love for two men, of anger and tenderness, despair and passion, and of her son Ofer, who volunteers for a military mission in the West Bank. His mother hopes to avert the impending disaster by telling her childhood friend Avram, who was himself a soldier in the Yom Kippur War, about Ofer's intention. And being out of reach if the terrible thing happens ....",,,,,,,,,,,,
The Eighth Life,Nino Haratischwili,9781950354146,"Six romances, one revolution, the story of the century.
At the start of the twentieth century, on the edge of the Russian Empire, a family prospers, thanks to a recipe for hot chocolate that bewitches its drinkers. But this chocolate carries a bitter - some say cursed - aftertaste ... 
Tumbling through the years, across vast expanses of longing and loss, witness generation after generation of this remarkable family as they struggle and thrive, divide and reunite, and live and die in the red century.",,,,,,,,,,,,
Miss Smila's Feeling for Snow,Peter Hoeg,9781860461675,"A few days before Christmas, a six-year-old boy is found dead in Copenhagen's waterfront. He has apparently fallen from the roof of a warehouse, and since only his tracks and those of no one else on the roof are seen, the case seems clear: an accident. Smilla Jaspersen, who lives in the same house as the boy, investigates, and her exciting odyssey takes her all the way to the Greenland Arctic Ocean....",,,,,,,,,,,,
About a boy,Nick Hornby,9780965593892,"Children are about the last thing Will Freeman, 36 years old and staunchly single, wants. He lives well and lazily on the royalties of a Christmas carol composed by his father in 1938. He spends his days doing nothing, and in the evenings he seeks out young, single, good-looking mothers for diversion.Marcus, at twelve years old, has very different problems. His parents are separated, and his mother has a frightening tendency to constantly burst into tears. At school, Marcus is an outsider, not least because of his clothes, haircut and taste in music. Fortunately, fate brings him together with Will. Nick Hornby's most successful novel, filmed with Hugh Grant, was a huge success.",,,,,,,,,,,,
Going for the dogs,Erich Kästner,9781590175842,"The story of Jakob Fabian, an unemployed German scholar who wanders through the overheated Berlin of the late twenties, a city in a state of political and erotic emergency.",,,,,,,,,,,,
The Metamorphosis,Franz Kafka, ‎ 9781557427663,"The Metamorphosis tells the story of salesman Gregor Samsa who wakes one morning to find himself inexplicably transformed into a huge insect, subsequently struggling to adjust to this new condition.",,,,,,,,,,,,
Measuring the World,Daniel Kehlmann,9780307277398,"With enigmatic humor, Daniel Kehlmann describes the lives of two geniuses: Alexander von Humboldt and Carl Friedrich Gauss. He describes their aspirations and weaknesses, their tightrope walk between ridiculousness and greatness, failure and success. A philosophical adventure novel of rare imagination, power and brilliance.",,,,,,,,,,,,
Original Bliss,A.L.Kennedy,9780375402722,"Helen Brindle is married to her tormentor and has a relationship with God from whom she desires a lover. God has an understanding and shows her Edward E. Gluck, psychology professor, perfect advisor in the maze of human relationships and handsome, on the nightly television program.",,,,,,,,,,,,
The Unbearable Lightness of Being,Milan Kundera,9780061148521,"A young woman is in love with a successful surgeon, a man torn between his love for her and his incorrigible womanizing. His mistress, a free-spirited artist, lives her life as a series of betrayals—while her other lover, earnest, faithful, and good, stands to lose everything because of his noble qualities. In a world where lives are shaped by irrevocable choices and fortuitous events, and everything occurs but once, existence seems to lose its substance, its weight. Hence we feel ""the unbearable lightness of being.""",,,,,,,,,,,,
Man of Straw,Heinrich Mann,9780140065848,"First published in 1918, ""Man of Straw"" is a sharp indictment of the Wilhelmine regime and a chilling warning against the joint elevation of militarism and commercial values. The ""Man of Straw"" is Diederich Hessling, embodiment of the corrupt society in which he moves; his brutish progression through life forms the central theme of the book. ",,,,,,,,,,,,
Confessions of Felix Krull,Thomas Mann,9780679739043,"Waiter by day, man about Paris by night; the young and good looking Felix Krull has created for himself a personality to charm and deceive the world of wealth. When the Marquis de Venosta makes him a proposal that he can't refuse, the young Felix finds himself on the pathway that will elevate him into the world of riches.",,,,,,,,,,,,
